,artists,album_name,track_name,popularity,explicit,danceability,energy,valence,duration_min,valence_category,cat_danceability,year,category,nominee,artist,winner
376,Carl Craig,Versus,Desire,10,False,0.624,0.575,0.0787,8.3089666667,Negativo,Alta,1988,Best Rock Performance By A Duo Or Group With Vocal,Desire,U2,True
377,Dj Promo,Hope,Desire,20,False,0.584,0.641,0.264,2.3843,Negativo,Media,1988,Best Rock Performance By A Duo Or Group With Vocal,Desire,U2,True
378,Husman,Desire,Desire,55,False,0.565,0.928,0.138,2.6153833333,Negativo,Media,1988,Best Rock Performance By A Duo Or Group With Vocal,Desire,U2,True
379,Shiba San;Millad,#PlasticFreeParty,Freedom,0,False,0.809,0.902,0.0773,3.8721666667,Negativo,Alta,2018,Best World Music Album,Freedom,Soweto Gospel Choir,True
380,Stephan Jolk,Freedom,Freedom,45,False,0.626,0.665,0.0327,4.0,Negativo,Alta,2018,Best World Music Album,Freedom,Soweto Gospel Choir,True
381,Andy Karl,Pretty Woman: The Musical (Original Broadway Cast Recording),Freedom,26,False,0.603,0.363,0.407,3.6554166667,Neutro,Alta,2018,Best World Music Album,Freedom,Soweto Gospel Choir,True
382,Wham!,Make It Big,Freedom,60,False,0.591,0.651,0.824,5.0366666667,Positivo,Media,2018,Best World Music Album,Freedom,Soweto Gospel Choir,True
383,LOVE PSYCHEDELICO,Golden Grapefruit,Freedom,34,False,0.558,0.946,0.445,5.4807333333,Neutro,Media,2018,Best World Music Album,Freedom,Soweto Gospel Choir,True
384,Dierks Bentley,Country USA,Freedom,0,False,0.547,0.832,0.544,3.6,Neutro,Media,2018,Best World Music Album,Freedom,Soweto Gospel Choir,True
385,Tony O'Connor,Uluru,Freedom,22,False,0.508,0.155,0.115,7.4466666667,Negativo,Media,2018,Best World Music Album,Freedom,Soweto Gospel Choir,True
386,The Infamous Stringdusters,Laws Of Gravity,Freedom,20,False,0.484,0.761,0.52,3.2953333333,Neutro,Media,2018,Best World Music Album,Freedom,Soweto Gospel Choir,True
387,David Guetta;CeCe Rogers,EDM Hits,Freedom,0,False,0.456,0.802,0.0616,3.9193333333,Negativo,Media,2018,Best World Music Album,Freedom,Soweto Gospel Choir,True
388,Carl Craig,Sessions,Angel,7,False,0.808,0.446,0.0395,7.16225,Negativo,Alta,2016,Best Traditional R&B Performance,Angel,Lalah Hathaway,True
389,Shaggy;Rayvon,Hot Shot,Angel,74,False,0.74,0.766,0.807,3.9188833333,Positivo,Alta,2016,Best Traditional R&B Performance,Angel,Lalah Hathaway,True
390,Lionel Richie,The Definitive Collection,Angel,44,False,0.732,0.81,0.609,3.69755,Positivo,Alta,2016,Best Traditional R&B Performance,Angel,Lalah Hathaway,True
391,Massive Attack,Mezzanine,Angel,63,False,0.714,0.309,0.0671,6.32555,Negativo,Alta,2016,Best Traditional R&B Performance,Angel,Lalah Hathaway,True
392,MC Vinny;Mc Lele JP;Mc Kako;MC Lemos;Dj GM;Oldilla,Angel,Angel,44,False,0.631,0.711,0.881,4.7999833333,Positivo,Alta,2016,Best Traditional R&B Performance,Angel,Lalah Hathaway,True
393,Ryuji Imaichi,Angel,Angel,20,False,0.598,0.915,0.701,3.9877666667,Positivo,Media,2016,Best Traditional R&B Performance,Angel,Lalah Hathaway,True
394,George Winston,Plains,Angel,22,False,0.534,0.0106,0.17,6.5511166667,Negativo,Media,2016,Best Traditional R&B Performance,Angel,Lalah Hathaway,True
395,Judas Priest,Angel Of Retribution,Angel,55,False,0.532,0.441,0.204,4.4033333333,Negativo,Media,2016,Best Traditional R&B Performance,Angel,Lalah Hathaway,True
396,Theory of a Deadman,Savages,Angel,65,False,0.443,0.844,0.452,3.3702166667,Neutro,Media,2016,Best Traditional R&B Performance,Angel,Lalah Hathaway,True
397,Barilari,Canciones Doradas,Angel,30,False,0.374,0.634,0.227,4.36795,Negativo,Baja,2016,Best Traditional R&B Performance,Angel,Lalah Hathaway,True
398,Aretha Franklin,Slow Down Soul,Angel,1,False,0.27,0.577,0.362,4.4673333333,Negativo,Baja,2016,Best Traditional R&B Performance,Angel,Lalah Hathaway,True
399,Aerosmith,Permanent Vacation,Angel,63,False,0.239,0.819,0.439,5.1484333333,Neutro,Baja,2016,Best Traditional R&B Performance,Angel,Lalah Hathaway,True
400,Kevi Jonny,Sucessos,Live,43,False,0.808,0.658,0.859,2.7967333333,Positivo,Alta,2003,Best Bluegrass Album,Live,Alison Krauss & Union Station,True
401,Kevi Jonny,Sucessos,Live,43,False,0.808,0.658,0.859,2.7967333333,Positivo,Alta,1993,Best Mexican-American Album,Live,Selena,True
402,Hov1,Hov1,Channel Orange,42,False,0.805,0.716,0.611,3.7969,Positivo,Alta,2012,Best Urban Contemporary Album,Channel Orange,Frank Ocean,True
403,BCX,Take Care,Take Care,51,False,0.805,0.637,0.577,3.1966,Neutro,Alta,2012,Best Rap Album,Take Care,Drake,True
404,Beach House,Teen Dream,Take Care,49,False,0.567,0.865,0.421,5.8073333333,Neutro,Media,2012,Best Rap Album,Take Care,Drake,True
405,Pal Joey,Pal Joey Presents Hot Music,Tomorrow,5,False,0.804,0.954,0.385,5.9606166667,Negativo,Alta,1985,"Best Soul Gospel Performance By A Duo, Group, Choir Or Chorus",Tomorrow,The Winans,True
406,Capital Monkey;Klopfgeister,Tomorrow - Single,Tomorrow,39,False,0.75,0.892,0.046,7.5362166667,Negativo,Alta,1985,"Best Soul Gospel Performance By A Duo, Group, Choir Or Chorus",Tomorrow,The Winans,True
407,Frankie Carle,Encores,Tomorrow,32,False,0.574,0.294,0.858,2.6223833333,Positivo,Media,1985,"Best Soul Gospel Performance By A Duo, Group, Choir Or Chorus",Tomorrow,The Winans,True
408,Fly By Midnight,Silver Crane,Tomorrow,64,False,0.568,0.669,0.405,3.0912333333,Neutro,Media,1985,"Best Soul Gospel Performance By A Duo, Group, Choir Or Chorus",Tomorrow,The Winans,True
409,Jor'dan Armstrong,Tomorrow,Tomorrow,24,False,0.547,0.627,0.615,3.9597333333,Positivo,Media,1985,"Best Soul Gospel Performance By A Duo, Group, Choir Or Chorus",Tomorrow,The Winans,True
410,AGA,Tomorrow,Tomorrow,47,False,0.522,0.446,0.283,4.1736,Negativo,Media,1985,"Best Soul Gospel Performance By A Duo, Group, Choir Or Chorus",Tomorrow,The Winans,True
411,Silverchair,Frogstomp (Deluxe Edition) [Remastered],Tomorrow,65,False,0.292,0.714,0.462,4.438,Neutro,Baja,1985,"Best Soul Gospel Performance By A Duo, Group, Choir Or Chorus",Tomorrow,The Winans,True
412,Nora Van Elken,I Wanna Dance With Somebody (Who Loves Me),I Wanna Dance With Somebody (Who Loves Me),61,False,0.804,0.82,0.564,2.5412666667,Neutro,Alta,1987,"Best Pop Vocal Performance, Female",I Wanna Dance With Somebody (Who Loves Me),Whitney Houston,True
413,Anja Schneider,Twisty,Free Fall,42,False,0.803,0.734,0.152,6.94885,Negativo,Alta,1986,"Best Jazz Vocal Performance, Duo Or Group",Free Fall,2+2 Plus,True
414,ILLENIUM;RUNN,Awake,Free Fall,51,False,0.429,0.525,0.228,3.4328333333,Negativo,Media,1986,"Best Jazz Vocal Performance, Duo Or Group",Free Fall,2+2 Plus,True
415,"Earth, Wind & Fire;The Emotions",I Am,Boogie Wonderland,76,False,0.802,0.756,0.963,4.8048833333,Positivo,Alta,1979,Best R&B Instrumental Performance,Boogie Wonderland,"Earth, Wind & Fire",True
416,AP Dhillon;Intense,Toxic,Toxic,69,False,0.802,0.737,0.577,3.0683666667,Neutro,Alta,2004,Best Dance Recording,Toxic,Britney Spears,True
417,Glee Cast,"Glee: The Music, Volume 4",Toxic,46,False,0.606,0.74,0.485,3.4068833333,Neutro,Alta,2004,Best Dance Recording,Toxic,Britney Spears,True
418,Within Destruction,Lotus,Toxic,47,True,0.161,0.938,0.217,3.5684166667,Negativo,Baja,2004,Best Dance Recording,Toxic,Britney Spears,True
419,Daphni,Joli Mai,Carry On,52,False,0.801,0.571,0.702,3.77465,Positivo,Alta,1997,Best Dance Recording,Carry On,Donna Summer & Giorgio Moroder,True
420,F.O.O.L;Holly Drummond,Carry On,Carry On,34,False,0.74,0.641,0.601,4.62515,Positivo,Alta,1997,Best Dance Recording,Carry On,Donna Summer & Giorgio Moroder,True
421,XXXTENTACION,17,Carry On,75,True,0.735,0.197,0.383,2.162,Negativo,Alta,1997,Best Dance Recording,Carry On,Donna Summer & Giorgio Moroder,True
422,EXILE,EXTREME BEST,Carry On,36,False,0.729,0.78,0.816,4.8344333333,Positivo,Alta,1997,Best Dance Recording,Carry On,Donna Summer & Giorgio Moroder,True
423,Jan Blomqvist,Carry On,Carry On,49,False,0.693,0.749,0.826,3.8250666667,Positivo,Alta,1997,Best Dance Recording,Carry On,Donna Summer & Giorgio Moroder,True
424,Hoodoo Gurus,Chariot Of The Gods,Carry On,23,False,0.533,0.882,0.655,2.74715,Positivo,Media,1997,Best Dance Recording,Carry On,Donna Summer & Giorgio Moroder,True
425,Bayside,The Walking Wounded (Gold Edition),Carry On,34,False,0.506,0.943,0.273,4.0211,Negativo,Media,1997,Best Dance Recording,Carry On,Donna Summer & Giorgio Moroder,True
426,Falling In Reverse,Carry On,Carry On,60,False,0.399,0.87,0.298,4.91275,Negativo,Baja,1997,Best Dance Recording,Carry On,Donna Summer & Giorgio Moroder,True
427,Maneli Jamal,Rise,Rise,30,False,0.801,0.255,0.305,2.5916666667,Negativo,Alta,1979,Best Pop Instrumental Performance,Rise,Herb Alpert,True
428,Jonas Blue;Jack & Jack,Blue,Rise,71,False,0.687,0.785,0.655,3.2401166667,Positivo,Alta,1979,Best Pop Instrumental Performance,Rise,Herb Alpert,True
429,Stanton Warriors,Rise,Rise,18,False,0.632,0.729,0.196,3.75755,Negativo,Alta,1979,Best Pop Instrumental Performance,Rise,Herb Alpert,True
430,Skillet,Rise (Deluxe Edition),Rise,61,False,0.57,0.921,0.381,4.3464333333,Negativo,Media,1979,Best Pop Instrumental Performance,Rise,Herb Alpert,True
431,Boyce Avenue,"Cover Sessions, Vol. 4",Rise,49,False,0.568,0.177,0.354,3.36945,Negativo,Media,1979,Best Pop Instrumental Performance,Rise,Herb Alpert,True
432,Gabrielle,Now And Always: 20 Years Of Dreaming,Rise,30,False,0.554,0.484,0.606,3.6468833333,Positivo,Media,1979,Best Pop Instrumental Performance,Rise,Herb Alpert,True
433,Eddie Vedder,Into The Wild (Music For The Motion Picture),Rise,60,False,0.401,0.58,0.526,2.60755,Neutro,Media,1979,Best Pop Instrumental Performance,Rise,Herb Alpert,True
434,Hans Zimmer,The Dark Knight Rises (Original Motion Picture Soundtrack) [Deluxe Edition],Rise,54,False,0.12,0.313,0.0416,7.2647333333,Negativo,Baja,1979,Best Pop Instrumental Performance,Rise,Herb Alpert,True
435,Boris Brejcha;Laura Korinth,Space Diver,Gravity,45,False,0.8,0.62,0.121,9.408,Negativo,Alta,2012,Best Gospel Album,Gravity,Lecrae,True
436,Boris Brejcha;Laura Korinth,Space Diver,Gravity,45,False,0.8,0.62,0.121,9.408,Negativo,Alta,2008,Best Solo Rock Vocal Performance,Gravity,John Mayer,True
437,Monkey Safari;Delhia De France,Love Will Set U Free,Gravity,48,False,0.77,0.693,0.461,5.4945,Neutro,Alta,2012,Best Gospel Album,Gravity,Lecrae,True
438,Monkey Safari;Delhia De France,Love Will Set U Free,Gravity,48,False,0.77,0.693,0.461,5.4945,Neutro,Alta,2008,Best Solo Rock Vocal Performance,Gravity,John Mayer,True
439,John Mayer,Continuum,Gravity,72,False,0.753,0.326,0.237,4.0971,Negativo,Alta,2012,Best Gospel Album,Gravity,Lecrae,True
440,John Mayer,Continuum,Gravity,72,False,0.753,0.326,0.237,4.0971,Negativo,Alta,2008,Best Solo Rock Vocal Performance,Gravity,John Mayer,True
441,SLANDER;Subtronics;JT Roach,Gravity,Gravity,55,False,0.631,0.862,0.39,6.08,Negativo,Alta,2012,Best Gospel Album,Gravity,Lecrae,True
442,SLANDER;Subtronics;JT Roach,Gravity,Gravity,55,False,0.631,0.862,0.39,6.08,Negativo,Alta,2008,Best Solo Rock Vocal Performance,Gravity,John Mayer,True
443,The Him;Georgie Keller,Gravity,Gravity,59,False,0.586,0.868,0.792,2.5,Positivo,Media,2012,Best Gospel Album,Gravity,Lecrae,True
444,The Him;Georgie Keller,Gravity,Gravity,59,False,0.586,0.868,0.792,2.5,Positivo,Media,2008,Best Solo Rock Vocal Performance,Gravity,John Mayer,True
445,Hooverphonic,The Best of Hooverphonic,Gravity,18,False,0.473,0.574,0.329,3.1082166667,Negativo,Media,2012,Best Gospel Album,Gravity,Lecrae,True
446,Hooverphonic,The Best of Hooverphonic,Gravity,18,False,0.473,0.574,0.329,3.1082166667,Negativo,Media,2008,Best Solo Rock Vocal Performance,Gravity,John Mayer,True
447,The Infamous Stringdusters,Laws Of Gravity,Gravity,34,False,0.462,0.613,0.327,3.694,Negativo,Media,2012,Best Gospel Album,Gravity,Lecrae,True
448,The Infamous Stringdusters,Laws Of Gravity,Gravity,34,False,0.462,0.613,0.327,3.694,Negativo,Media,2008,Best Solo Rock Vocal Performance,Gravity,John Mayer,True
449,Anthony Lazaro,Strangers in Disguise,Gravity,51,False,0.442,0.14,0.314,2.4880833333,Negativo,Media,2012,Best Gospel Album,Gravity,Lecrae,True
450,Anthony Lazaro,Strangers in Disguise,Gravity,51,False,0.442,0.14,0.314,2.4880833333,Negativo,Media,2008,Best Solo Rock Vocal Performance,Gravity,John Mayer,True
451,Metrik,Gravity,Gravity,46,False,0.405,0.917,0.194,4.50565,Negativo,Media,2012,Best Gospel Album,Gravity,Lecrae,True
452,Metrik,Gravity,Gravity,46,False,0.405,0.917,0.194,4.50565,Negativo,Media,2008,Best Solo Rock Vocal Performance,Gravity,John Mayer,True
453,Holding Absence,Gravity,Gravity,55,False,0.389,0.92,0.246,4.3738666667,Negativo,Baja,2012,Best Gospel Album,Gravity,Lecrae,True
454,Holding Absence,Gravity,Gravity,55,False,0.389,0.92,0.246,4.3738666667,Negativo,Baja,2008,Best Solo Rock Vocal Performance,Gravity,John Mayer,True
455,Sara Bareilles,Little Voice,Gravity,67,False,0.27,0.275,0.231,3.8793333333,Negativo,Baja,2012,Best Gospel Album,Gravity,Lecrae,True
456,Sara Bareilles,Little Voice,Gravity,67,False,0.27,0.275,0.231,3.8793333333,Negativo,Baja,2008,Best Solo Rock Vocal Performance,Gravity,John Mayer,True
457,Ben Lukas Boysen,Gravity (Special Edition),Gravity,11,False,0.172,0.0701,0.0505,6.2931666667,Negativo,Baja,2012,Best Gospel Album,Gravity,Lecrae,True
458,Ben Lukas Boysen,Gravity (Special Edition),Gravity,11,False,0.172,0.0701,0.0505,6.2931666667,Negativo,Baja,2008,Best Solo Rock Vocal Performance,Gravity,John Mayer,True
459,Steven Price,Gravity (Original Motion Picture Soundtrack),Gravity,49,False,0.117,0.256,0.0579,4.5886666667,Negativo,Baja,2012,Best Gospel Album,Gravity,Lecrae,True
460,Steven Price,Gravity (Original Motion Picture Soundtrack),Gravity,49,False,0.117,0.256,0.0579,4.5886666667,Negativo,Baja,2008,Best Solo Rock Vocal Performance,Gravity,John Mayer,True
461,Sandro Cavazza,Lean On Me,Lean On Me,67,False,0.799,0.419,0.716,3.0416166667,Positivo,Alta,1987,Best Rhythm & Blues Song,Lean On Me,,True
462,Cheat Codes;Tinashe,"HELLRAISERS, Part 1",Lean On Me,69,False,0.686,0.738,0.45,2.4976,Neutro,Alta,1987,Best Rhythm & Blues Song,Lean On Me,,True
463,Seal,Just Best Covers,Lean On Me,1,False,0.636,0.516,0.472,3.4457666667,Neutro,Alta,1987,Best Rhythm & Blues Song,Lean On Me,,True
464,Mabel,pov: it's 2020,Boyfriend,0,False,0.799,0.847,0.678,3.7544333333,Positivo,Alta,2019,Best Pop Duo/Group Performance,Boyfriend,Ariana Grande & Social House,True
465,Goom Gum,Starboy,Starboy,37,False,0.798,0.682,0.0706,7.1484666667,Negativo,Alta,2017,Best Urban Contemporary Album,Starboy,The Weeknd,True
466,The Weeknd;Daft Punk,Starboy,Starboy,90,True,0.679,0.587,0.486,3.8408833333,Neutro,Alta,2017,Best Urban Contemporary Album,Starboy,The Weeknd,True
467,Boris Brejcha,Mein Wahres Ich,My Love,38,False,0.798,0.767,0.368,7.53115,Negativo,Alta,2006,Best Rap/Sung Collaboration,My Love,Justin Timberlake Featuring T.I.,True
468,Jethro Heston,My Love,My Love,61,False,0.789,0.784,0.567,2.6034833333,Neutro,Alta,2006,Best Rap/Sung Collaboration,My Love,Justin Timberlake Featuring T.I.,True
469,Suga7,My Love / Take It Back,My Love,12,False,0.772,0.873,0.726,5.1110833333,Positivo,Alta,2006,Best Rap/Sung Collaboration,My Love,Justin Timberlake Featuring T.I.,True
470,Ocoeur,Light as a Feather,My Love,8,False,0.254,0.063,0.136,3.63265,Negativo,Baja,2006,Best Rap/Sung Collaboration,My Love,Justin Timberlake Featuring T.I.,True
471,Crocodylus,My Love,My Love,29,False,0.218,0.851,0.679,2.7087166667,Positivo,Baja,2006,Best Rap/Sung Collaboration,My Love,Justin Timberlake Featuring T.I.,True
472,Bazzi,New Pop Classics,Heaven,0,False,0.798,0.575,0.683,2.5565166667,Positivo,Alta,2006,Best Male R&B Vocal Performance,Heaven,John Legend,True
473,Bazzi,New Pop Classics,Heaven,0,False,0.798,0.575,0.683,2.5565166667,Positivo,Alta,2004,Best Pop Performance By A Duo Or Group With Vocal,Heaven,Los Lonely Boys,True
474,Pink Sweat$,PINK PLANET,Heaven,54,False,0.78,0.389,0.188,2.8291333333,Negativo,Alta,2006,Best Male R&B Vocal Performance,Heaven,John Legend,True
475,Pink Sweat$,PINK PLANET,Heaven,54,False,0.78,0.389,0.188,2.8291333333,Negativo,Alta,2004,Best Pop Performance By A Duo Or Group With Vocal,Heaven,Los Lonely Boys,True
476,Dimitri Vegas & Like Mike;Azteck;Hayley May,Heaven,Heaven,66,False,0.716,0.853,0.593,2.9715666667,Neutro,Alta,2006,Best Male R&B Vocal Performance,Heaven,John Legend,True
477,Dimitri Vegas & Like Mike;Azteck;Hayley May,Heaven,Heaven,66,False,0.716,0.853,0.593,2.9715666667,Neutro,Alta,2004,Best Pop Performance By A Duo Or Group With Vocal,Heaven,Los Lonely Boys,True
478,Acnatro;Amorf,Heaven,Heaven,31,False,0.689,0.586,0.149,3.2801,Negativo,Alta,2006,Best Male R&B Vocal Performance,Heaven,John Legend,True
479,Acnatro;Amorf,Heaven,Heaven,31,False,0.689,0.586,0.149,3.2801,Negativo,Alta,2004,Best Pop Performance By A Duo Or Group With Vocal,Heaven,Los Lonely Boys,True
480,Kane Brown,Kane Brown (Deluxe Edition),Heaven,73,False,0.677,0.556,0.521,2.9917666667,Neutro,Alta,2006,Best Male R&B Vocal Performance,Heaven,John Legend,True
481,Kane Brown,Kane Brown (Deluxe Edition),Heaven,73,False,0.677,0.556,0.521,2.9917666667,Neutro,Alta,2004,Best Pop Performance By A Duo Or Group With Vocal,Heaven,Los Lonely Boys,True
482,MALIQ & D'Essentials,Free Your Mind,Heaven,41,False,0.652,0.636,0.852,3.5957666667,Positivo,Alta,2006,Best Male R&B Vocal Performance,Heaven,John Legend,True
483,MALIQ & D'Essentials,Free Your Mind,Heaven,41,False,0.652,0.636,0.852,3.5957666667,Positivo,Alta,2004,Best Pop Performance By A Duo Or Group With Vocal,Heaven,Los Lonely Boys,True
484,Boyce Avenue;Megan Nicole,"Cover Sessions, Vol. 2",Heaven,61,False,0.619,0.28,0.292,4.1677166667,Negativo,Alta,2006,Best Male R&B Vocal Performance,Heaven,John Legend,True
485,Boyce Avenue;Megan Nicole,"Cover Sessions, Vol. 2",Heaven,61,False,0.619,0.28,0.292,4.1677166667,Negativo,Alta,2004,Best Pop Performance By A Duo Or Group With Vocal,Heaven,Los Lonely Boys,True
486,JUNG,REGNIG DAG,Heaven,0,False,0.616,0.598,0.248,2.7217166667,Negativo,Alta,2006,Best Male R&B Vocal Performance,Heaven,John Legend,True
487,JUNG,REGNIG DAG,Heaven,0,False,0.616,0.598,0.248,2.7217166667,Negativo,Alta,2004,Best Pop Performance By A Duo Or Group With Vocal,Heaven,Los Lonely Boys,True
488,The Blaze,Dancehall,Heaven,58,False,0.613,0.461,0.0837,3.6546666667,Negativo,Alta,2006,Best Male R&B Vocal Performance,Heaven,John Legend,True
489,The Blaze,Dancehall,Heaven,58,False,0.613,0.461,0.0837,3.6546666667,Negativo,Alta,2004,Best Pop Performance By A Duo Or Group With Vocal,Heaven,Los Lonely Boys,True
490,Avicii,pov: it's 2019,Heaven,0,False,0.592,0.873,0.515,4.6210166667,Neutro,Media,2006,Best Male R&B Vocal Performance,Heaven,John Legend,True
491,Avicii,pov: it's 2019,Heaven,0,False,0.592,0.873,0.515,4.6210166667,Neutro,Media,2004,Best Pop Performance By A Duo Or Group With Vocal,Heaven,Los Lonely Boys,True
492,OneRepublic,Oh My My,Heaven,52,False,0.585,0.724,0.37,4.3157666667,Negativo,Media,2006,Best Male R&B Vocal Performance,Heaven,John Legend,True
493,OneRepublic,Oh My My,Heaven,52,False,0.585,0.724,0.37,4.3157666667,Negativo,Media,2004,Best Pop Performance By A Duo Or Group With Vocal,Heaven,Los Lonely Boys,True
494,Julia Michaels,Broad Stories,Heaven,69,False,0.554,0.371,0.245,3.1968833333,Negativo,Media,2006,Best Male R&B Vocal Performance,Heaven,John Legend,True
495,Julia Michaels,Broad Stories,Heaven,69,False,0.554,0.371,0.245,3.1968833333,Negativo,Media,2004,Best Pop Performance By A Duo Or Group With Vocal,Heaven,Los Lonely Boys,True
496,Live,Awake The Best Of Live,Heaven,25,False,0.518,0.825,0.304,3.768,Negativo,Media,2006,Best Male R&B Vocal Performance,Heaven,John Legend,True
497,Live,Awake The Best Of Live,Heaven,25,False,0.518,0.825,0.304,3.768,Negativo,Media,2004,Best Pop Performance By A Duo Or Group With Vocal,Heaven,Los Lonely Boys,True
498,Gotthard,Homerun,Heaven,46,False,0.478,0.683,0.312,4.5588833333,Negativo,Media,2006,Best Male R&B Vocal Performance,Heaven,John Legend,True
499,Gotthard,Homerun,Heaven,46,False,0.478,0.683,0.312,4.5588833333,Negativo,Media,2004,Best Pop Performance By A Duo Or Group With Vocal,Heaven,Los Lonely Boys,True
500,Warrant,Dirty Rotten Filthy Stinking Rich,Heaven,61,False,0.461,0.488,0.33,3.9477666667,Negativo,Media,2006,Best Male R&B Vocal Performance,Heaven,John Legend,True
501,Warrant,Dirty Rotten Filthy Stinking Rich,Heaven,61,False,0.461,0.488,0.33,3.9477666667,Negativo,Media,2004,Best Pop Performance By A Duo Or Group With Vocal,Heaven,Los Lonely Boys,True
502,Delta Heavy;Jem Cooke,Heaven,Heaven,51,False,0.404,0.939,0.104,3.9314166667,Negativo,Media,2006,Best Male R&B Vocal Performance,Heaven,John Legend,True
503,Delta Heavy;Jem Cooke,Heaven,Heaven,51,False,0.404,0.939,0.104,3.9314166667,Negativo,Media,2004,Best Pop Performance By A Duo Or Group With Vocal,Heaven,Los Lonely Boys,True
504,Bryan Adams,Reckless (30th Anniversary / Deluxe Edition),Heaven,77,False,0.382,0.589,0.335,4.056,Negativo,Baja,2006,Best Male R&B Vocal Performance,Heaven,John Legend,True
505,Bryan Adams,Reckless (30th Anniversary / Deluxe Edition),Heaven,77,False,0.382,0.589,0.335,4.056,Negativo,Baja,2004,Best Pop Performance By A Duo Or Group With Vocal,Heaven,Los Lonely Boys,True
506,Quincy Jones;Charles May,Disco Boogie Mood,Ai No Corrida,1,False,0.797,0.765,0.889,6.4433333333,Positivo,Alta,1981,Best Instrumental Arrangement Accompanying Vocal(s),Ai No Corrida,,True
507,Tommy Ice,Forever,Forever,55,True,0.796,0.495,0.506,2.6685666667,Neutro,Alta,2011,Best Jazz Instrumental Album,Forever,"Corea, Clarke & White",True
508,Alex Keeper,Forever,Forever,57,False,0.763,0.457,0.0384,2.8785666667,Negativo,Alta,2011,Best Jazz Instrumental Album,Forever,"Corea, Clarke & White",True
509,Wavey,Forever,Forever,56,False,0.725,0.407,0.262,2.3703666667,Negativo,Alta,2011,Best Jazz Instrumental Album,Forever,"Corea, Clarke & White",True
510,Xad,Forever,Forever,53,False,0.695,0.505,0.479,3.03935,Neutro,Alta,2011,Best Jazz Instrumental Album,Forever,"Corea, Clarke & White",True
511,rei brown,Forever,Forever,54,False,0.635,0.444,0.758,2.90155,Positivo,Alta,2011,Best Jazz Instrumental Album,Forever,"Corea, Clarke & White",True
512,ilyTOMMY,Forever,Forever,71,False,0.613,0.339,0.292,1.8115833333,Negativo,Alta,2011,Best Jazz Instrumental Album,Forever,"Corea, Clarke & White",True
513,When Chai Met Toast,Believe,Forever,41,False,0.607,0.737,0.697,3.81935,Positivo,Alta,2011,Best Jazz Instrumental Album,Forever,"Corea, Clarke & White",True
514,Brothers In Crime,XTC,Forever,16,False,0.604,0.982,0.618,3.3133333333,Positivo,Alta,2011,Best Jazz Instrumental Album,Forever,"Corea, Clarke & White",True
515,The Hit Parade,With Love From...,Forever,19,False,0.571,0.698,0.478,2.9666666667,Neutro,Media,2011,Best Jazz Instrumental Album,Forever,"Corea, Clarke & White",True
516,Chris Tomlin,How Great Is Our God: The Essential Collection,Forever,44,False,0.554,0.705,0.133,5.4493333333,Negativo,Media,2011,Best Jazz Instrumental Album,Forever,"Corea, Clarke & White",True
517,Martin Garrix;Matisse & Sadko,Forever,Forever,56,False,0.45,0.898,0.22,3.6406166667,Negativo,Media,2011,Best Jazz Instrumental Album,Forever,"Corea, Clarke & White",True
518,KISS,Hot In The Shade,Forever,64,False,0.435,0.666,0.566,3.8773333333,Neutro,Media,2011,Best Jazz Instrumental Album,Forever,"Corea, Clarke & White",True
519,CHVRCHES,Love Is Dead,Forever,47,False,0.434,0.768,0.305,3.7409833333,Negativo,Media,2011,Best Jazz Instrumental Album,Forever,"Corea, Clarke & White",True
520,Sheezay,Kambathu Rapper,Forever,29,False,0.383,0.481,0.117,4.92555,Negativo,Baja,2011,Best Jazz Instrumental Album,Forever,"Corea, Clarke & White",True
521,Killing Me Inside,Selftitled,Forever,38,False,0.227,0.484,0.209,3.9353333333,Negativo,Baja,2011,Best Jazz Instrumental Album,Forever,"Corea, Clarke & White",True
522,Tove Lo,Glad He's Gone,Glad He's Gone,51,True,0.795,0.595,0.502,3.2724666667,Neutro,Alta,2019,Best Music Video,Glad He's Gone,Tove Lo,True
523,Living Room,Balearic Deep-House Winter 2022,Brand New Day,0,False,0.794,0.733,0.359,4.2129666667,Negativo,Alta,1999,Best Pop Album,Brand New Day,Sting,True
524,Living Room,Balearic Deep-House Winter 2022,Brand New Day,0,False,0.794,0.733,0.359,4.2129666667,Negativo,Alta,1999,Best Male Pop Vocal Performance,Brand New Day,Sting,True
525,Jack Hartmann,Super Fun Learning Songs,Brand New Day,10,False,0.722,0.627,0.853,2.02885,Positivo,Alta,1999,Best Pop Album,Brand New Day,Sting,True
526,Jack Hartmann,Super Fun Learning Songs,Brand New Day,10,False,0.722,0.627,0.853,2.02885,Positivo,Alta,1999,Best Male Pop Vocal Performance,Brand New Day,Sting,True
527,BABYMETAL;Tim Henson;Scott LePage,METAL GALAXY,Brand New Day,42,False,0.653,0.891,0.232,4.1399833333,Negativo,Alta,1999,Best Pop Album,Brand New Day,Sting,True
528,BABYMETAL;Tim Henson;Scott LePage,METAL GALAXY,Brand New Day,42,False,0.653,0.891,0.232,4.1399833333,Negativo,Alta,1999,Best Male Pop Vocal Performance,Brand New Day,Sting,True
529,Don Diablo;Zak Abel,pov: it's 2020,Bad,0,True,0.794,0.774,0.674,2.8318333333,Positivo,Alta,1987,Best Engineered Recording - Non-Classical,Bad,,True
530,The Baseballs,The Sun Sessions,Bad,23,False,0.744,0.872,0.626,3.4333333333,Positivo,Alta,1987,Best Engineered Recording - Non-Classical,Bad,,True
